"month,year",Vendor Identifier,Region,Rights Holder,Product Type Identifier,Asset/Content Flavor,Net revenue,Royalty,Units,Tax,After tax,Fee value,Media,Encoding U$
"(2014, 3)",0183_20130110_MOBZ_OAMANTEDARAINHA,Brazil,Mares Filmes,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-308.91
"(2014, 3)",0183_20130110_MOBZ_OAMANTEDARAINHA,Latam,Cineplex,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.83
"(2014, 3)",0183_20130110_MOBZ_OAMANTEDARAINHA,Latam,Cineplex,D,HD,2.99,2.392,1.0,0.0,2.99,0.598,0.0,-617.83
"(2014, 3)",0245_20131021_SOFA_AGRANDEBELEZA,Brazil,Mares Filmes,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2534.55
"(2014, 3)",0245_20131021_SOFA_AGRANDEBELEZA,Brazil,Mares Filmes,Cable,HD,2.555191485,1.94603383498,1.0,0.12264919128,2.43254229372,0.486508458744,0.0,-2534.55
"(2014, 3)",0245_20131021_SOFA_AGRANDEBELEZA,Latam,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2014, 3)",0260_20131108_AZULEACORMAISQUENTE,Brazil,Tag Cultural,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3149.5
"(2014, 3)",0260_20131108_AZULEACORMAISQUENTE,Brazil,Tag Cultural,Cable,HD,33.217489305,25.2984398547,13.0,1.59443948664,31.6230498184,6.32460996367,0.0,-6299.0
"(2014, 3)",0260_20131108_AZULEACORMAISQUENTE,Latam,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2014, 4)",0183_20130110_MOBZ_OAMANTEDARAINHA,Brazil,Mares Filmes,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-308.91
"(2014, 4)",0183_20130110_MOBZ_OAMANTEDARAINHA,Brazil,Mares Filmes,D,HD,5.98,4.554368,2.0,0.28704,5.69296,1.138592,0.0,-617.82
"(2014, 4)",0183_20130110_MOBZ_OAMANTEDARAINHA,Latam,Cineplex,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.83
"(2014, 4)",0245_20131021_SOFA_AGRANDEBELEZA,Brazil,Mares Filmes,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2534.55
"(2014, 4)",0245_20131021_SOFA_AGRANDEBELEZA,Latam,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2014, 4)",0260_20131108_AZULEACORMAISQUENTE,Brazil,Tag Cultural,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3149.5
"(2014, 4)",0260_20131108_AZULEACORMAISQUENTE,Latam,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
