"month,year",Vendor Identifier,Rights Holder,0,1
"(2014, 3)",0183_20130110_MOBZ_OAMANTEDARAINHA,Cineplex,0.0,0.0
"(2014, 3)",0183_20130110_MOBZ_OAMANTEDARAINHA,Mares Filmes,0.0,0.0
"(2014, 3)",0245_20131021_SOFA_AGRANDEBELEZA,,0.0,0.0
"(2014, 3)",0245_20131021_SOFA_AGRANDEBELEZA,Mares Filmes,0.0,0.0
"(2014, 3)",0260_20131108_AZULEACORMAISQUENTE,,0.0,0.0
"(2014, 3)",0260_20131108_AZULEACORMAISQUENTE,Tag Cultural,0.0,0.0
"(2014, 4)",0183_20130110_MOBZ_OAMANTEDARAINHA,Cineplex,14890.51,14890.51
"(2014, 4)",0183_20130110_MOBZ_OAMANTEDARAINHA,Mares Filmes,1578.1724,1578.1724
"(2014, 4)",0245_20131021_SOFA_AGRANDEBELEZA,,0.0,0.0
"(2014, 4)",0245_20131021_SOFA_AGRANDEBELEZA,Mares Filmes,0.0,0.0
"(2014, 4)",0260_20131108_AZULEACORMAISQUENTE,,0.0,0.0
"(2014, 4)",0260_20131108_AZULEACORMAISQUENTE,Tag Cultural,0.0,0.0
