Country,Transaction Date,Name of Title,Season Title,Show Title,Channel Name,Video Category,YouTube Video ID,Partner Reporting ID,Transaction Type,Resolution,Refund/Chargeback,Coupon Used,Purchase Location,Retail Price (USD),Native Retail Price (BRL),Tax Exclusive Retail Price (USD),Native Tax Exclusive Retail Price (BRL),Total Tax (USD),Native Total Tax,Partner Earnings Fraction,Contractual Minimum Partner Earnings (USD),Native Contractual Minimum Partner Earnings (BRL),Partner Earnings Using Tax Exclusive Retail Price (USD),Native Partner Earnings Using Tax Exclusive Retail Price (BRL),Final Partner Earnings (USD),Native Final Partner Earnings (BRL),Conversion Rate
BR,8/14/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,VOD,SD,FALSE,FALSE,Google Play,3.04,6.9,3.04,6.9,0,0,0.7,2.13,4.83,2.13,4.83,2.13,4.83,1
BR,8/14/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,VOD,HD,FALSE,FALSE,Google Play,4.36,9.9,4.36,9.9,0,0,0.7,2.13,4.83,3.05,6.93,3.06,6.95,1
BR,8/14/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,VOD,SD,FALSE,FALSE,Google Play,3.04,6.9,3.04,6.9,0,0,0.7,2.13,4.83,2.13,4.83,2.14,4.85,1
BR,8/14/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,VOD,HD,FALSE,FALSE,Google Play,4.36,9.9,4.36,9.9,0,0,0.7,2.13,4.83,3.05,6.93,3.06,6.95,1
BR,8/14/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,VOD,SD,FALSE,FALSE,Google Play,3.04,6.9,3.04,6.9,0,0,0.7,2.13,4.83,2.13,4.83,2.14,4.85,1
BR,8/14/14,Hannah Arendt,,,Filmes para ver no sofíç,Movie,toYtOkpzkyk,0213_20132108_SOFA_HANNAHRENDT,VOD,SD,FALSE,FALSE,Google Play,3.04,6.9,3.04,6.9,0,0,0.7,2.13,4.83,2.13,4.83,2.14,4.85,1
BR,8/14/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,EST,SD,FALSE,FALSE,YouTube,13.15,29.9,13.15,29.9,0,0,0,9.2,20.9,9.2,20.9,9.2,20.9,1
BR,8/14/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,VOD,SD,FALSE,FALSE,Google Play,3.04,6.9,3.04,6.9,0,0,0.7,2.13,4.83,2.13,4.83,2.14,4.85,1
BR,8/15/14,Paris-Manhattan,,,Filmes para ver no sofíç,Movie,NufzV-WfkfI,0165_20130110_MOBZ_PARISMANHATTAN,VOD,SD,FALSE,FALSE,Google Play,1.73,3.9,1.73,3.9,0,0,0.5,0.87,1.95,0.87,1.95,0.87,1.95,1
BR,8/15/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,EST,HD,FALSE,FALSE,Google Play,17.61,39.9,17.61,39.9,0,0,0,12.31,27.9,12.31,27.9,12.31,27.9,1
BR,8/15/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,VOD,HD,FALSE,FALSE,YouTube,4.37,9.9,4.37,9.9,0,0,0.7,2.14,4.83,3.06,6.93,3.06,6.93,1
BR,8/15/14,Lore,,,Filmes para ver no sofíç,Movie,KOr-tb15vSI,0242_20131021_SOFA_LORE,VOD,HD,FALSE,FALSE,Google Play,4.37,9.9,4.37,9.9,0,0,0.7,2.14,4.83,3.06,6.93,3.06,6.93,1
BR,8/15/14,Hannah Arendt,,,Filmes para ver no sofíç,Movie,toYtOkpzkyk,0213_20132108_SOFA_HANNAHRENDT,VOD,HD,FALSE,FALSE,Google Play,4.37,9.9,4.37,9.9,0,0,0.7,2.14,4.83,3.06,6.93,3.06,6.93,1
BR,8/15/14,Hannah Arendt,,,Filmes para ver no sofíç,Movie,toYtOkpzkyk,0213_20132108_SOFA_HANNAHRENDT,VOD,HD,FALSE,FALSE,Google Play,4.37,9.9,4.37,9.9,0,0,0.7,2.14,4.83,3.06,6.93,3.06,6.93,1
BR,8/15/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,VOD,SD,FALSE,FALSE,YouTube,3.05,6.9,3.05,6.9,0,0,0.7,2.14,4.83,2.14,4.83,2.14,4.83,1
BR,8/15/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,VOD,SD,FALSE,FALSE,Google Play,3.05,6.9,3.05,6.9,0,0,0.7,2.14,4.83,2.14,4.83,2.14,4.83,1
BR,8/15/14,Hannah Arendt,,,Filmes para ver no sofíç,Movie,toYtOkpzkyk,0213_20132108_SOFA_HANNAHRENDT,VOD,HD,FALSE,FALSE,Google Play,4.37,9.9,4.37,9.9,0,0,0.7,2.14,4.83,3.06,6.93,3.06,6.93,1
BR,8/15/14,A Grande Beleza,,,Filmes para ver no sofíç,Movie,IzOtxFiJTWM,0245_20131021_SOFA_AGRANDEBELEZA,VOD,SD,FALSE,FALSE,YouTube,3.05,6.9,3.05,6.9,0,0,0.7,2.14,4.83,2.14,4.83,2.14,4.83,1
BR,8/15/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,EST,HD,FALSE,FALSE,YouTube,17.61,39.9,17.61,39.9,0,0,0,12.31,27.9,12.31,27.9,12.31,27.9,1
BR,8/16/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,VOD,HD,FALSE,FALSE,Google Play,4.37,9.9,4.37,9.9,0,0,0.7,2.14,4.83,3.06,6.93,3.07,6.94,1
BR,8/16/14,A Gaiola Dourada,,,Filmes para ver no sofíç,Movie,NmEUimri458,0246_20131021_SOFA_AGAIOLADOURADA,VOD,SD,FALSE,FALSE,Google Play,3.05,6.9,3.05,6.9,0,0,0.7,2.14,4.83,2.14,4.83,2.14,4.85,1
BR,8/16/14,Hoje Eu Quero Voltar Sozinho,,,Filmes para ver no sofíç,Movie,FKQSSfJZQ4o,0317_20140312_SOFA_HOJEEUQUEROVOLTARSOZINHO,VOD,SD,FALSE,FALSE,Google Play,3.05,6.9,3.05,6.9,0,0,0.7,2.14,4.83,2.14,4.83,2.14,4.85,1
