"month,year",Vendor Identifier,Rights Holder,Royalty,Recoupable,Cumu,Balance,Positive,Payment Owed
2013-01-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,325.500224,0.0,325.500224,325.500224,325.500224,325.500224
2013-02-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,217.581504,0.0,543.081728,543.081728,543.081728,217.581504
2013-03-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,211.976128,0.0,755.057856,755.057856,755.057856,211.976128
2013-04-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,227.79456,0.0,982.852416,982.852416,982.852416,227.79456
2013-05-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,99.457344,0.0,1082.30976,1082.30976,1082.30976,99.457344
2013-06-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,11.38592,0.0,1093.69568,1093.69568,1093.69568,11.38592
2013-07-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,30.989504,0.0,1124.685184,1124.685184,1124.685184,30.989504
2013-08-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,49.024192,0.0,1173.709376,1173.709376,1173.709376,49.024192
2013-09-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,49.892416,0.0,1223.601792,1223.601792,1223.601792,49.892416
2013-10-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,25.5136,0.0,1249.115392,1249.115392,1249.115392,25.5136
2013-11-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,18.2784,0.0,1267.393792,1267.393792,1267.393792,18.2784
2013-12-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,14.4704,0.0,1281.864192,1281.864192,1281.864192,14.4704
2014-01-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,30.0832,0.0,1311.947392,1311.947392,1311.947392,30.0832
2014-02-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,47.44768,0.0,1359.395072,1359.395072,1359.395072,47.44768
2014-03-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,59.724672,0.0,1419.119744,1419.119744,1419.119744,59.724672
2014-04-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,30.684864,0.0,1449.804608,1449.804608,1449.804608,30.684864
2014-05-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,18.50688,0.0,1468.311488,1468.311488,1468.311488,18.50688
2014-06-01 00:00:00,0008_20120426_MOBZ_ASEPARACAO,Tag Cultural,67.85856,0.0,1536.170048,1536.170048,1536.170048,67.85856
